6  11   1 0 0 
6  12   1 0 0
6  13   1 0 0 
6  14   1 0 0 
6  15   1 0 0 
6  16   1 0 0
1  1    1 0 0
1  2    1 0 0
1  3    1 0 0 
1  4    1 0 0 
1  5    1 0 0 
1  6    1 0 0
1  7    1 0 0
1  8    1 0 0
1  9    1 0 0 
1  10   1 0 0 
1  11   1 0 0 
1  12   1 0 0
1  13   1 0 0 
1  14   1 0 0 
1  15   1 0 0 
1  16   1 0 0
2  1    1 0 0
2  2    1 0 0
2  3    1 0 0 
2  4    1 0 0 
2  5    1 0 0 
2  6    1 0 0
2  7    1 0 0
2  8    1 0 0
2  9    1 0 0 
2  10   1 0 0 
2  11   1 0 0 
2  12   1 0 0
2  13   1 0 0 
2  14   1 0 0 
2  15   1 0 0 
2  16   1 0 0
3  1    1 0 0
3  2    1 0 0
3  3    1 0 0 
3  4    1 0 0 
3  5    1 0 0 
3  6    1 0 0
3  7    1 0 0
3  8    1 0 0
3  9    1 0 0 
3  10   1 0 0 
3  11   1 0 0 
3  12   1 0 0
3  13   1 0 0 
3  14   1 0 0 
3  15   1 0 0 
3  16   1 0 0
4  1    1 0 0
4  2    1 0 0
4  3    1 0 0 
4  4    1 0 0 
4  5    1 0 0 
4  6    1 0 0
4  7    1 0 0
4  8    1 0 0
4  9    1 0 0 
4  10   1 0 0 
4  11   1 0 0 
4  12   1 0 0
4  13   1 0 0 
4  14   1 0 0 
4  15   1 0 0 
4  16   1 0 0
5  1    1 0 0
5  2    1 0 0
5  3    1 0 0 
5  4    1 0 0 
5  5    1 0 0 
5  6    1 0 0
5  7    1 0 0
5  8    1 0 0
5  9    1 0 0 
5  10   1 0 0 
5  11   1 0 0 
5  12   1 0 0
5  13   1 0 0 
5  14   1 0 0 
5  15   1 0 0 
5  16   1 0 0
6  1    1 0 0
6  2    1 0 0
6  3    1 0 0 
6  4    1 0 0 
6  5    1 0 0 
6  6    1 0 0
6  7    1 0 0
6  8    1 0 0
6  9    1 0 0 
6  10   1 0 0 
6  11   1 0 0 
6  12   1 0 0
6  13   1 0 0 
6  14   1 0 0 
6  15   1 0 0 
6  16   1 0 0
1  17 1 0 0
1  18 1 0 0
1  19 1 0 0
1  20 1 0 0
1  21 1 0 0
1  22 1 0 0
1  23 1 0 0
1  24 1 0 0
1  25 1 0 0
1  26 1 0 0
1  27 1 0 0
1  28 1 0 0
1  29 1 0 0
1  30 1 0 0
1  31 1 0 0
1  32 1 0 0
2  17 1 0 0 
2  18 1 0 0
2  19 1 0 0
2  20 1 0 0
2  21 1 0 0
2  22 1 0 0
2  23 1 0 0
2  24 1 0 0
2  25 1 0 0
2  26 1 0 0
2  27 1 0 0
2  28 1 0 0
2  29 1 0 0
2  30 1 0 0
2  31 1 0 0
2  32 1 0 0
3  17 1 0 0 
3  18 1 0 0
3  19 1 0 0
3  20 1 0 0
3  21 1 0 0
3  22 1 0 0
3  23 1 0 0
3  24 1 0 0
3  25 1 0 0
3  26 1 0 0
3  27 1 0 0
3  28 1 0 0
3  29 1 0 0
3  30 1 0 0
3  31 1 0 0
3  32 1 0 0
4  17 1 0 0 
4  18 1 0 0
4  19 1 0 0
4  20 1 0 0
4  21 1 0 0
4  22 1 0 0
4  23 1 0 0
4  24 1 0 0
4  25 1 0 0
4  26 1 0 0
4  27 1 0 0
4  28 1 0 0
4  29 1 0 0
4  30 1 0 0
4  31 1 0 0
4  32 1 0 0
5  17 1 0 0 
5  18 1 0 0
5  19 1 0 0
5  20 1 0 0
5  21 1 0 0
5  22 1 0 0
5  23 1 0 0
5  24 1 0 0
5  25 1 0 0
5  26 1 0 0
5  27 1 0 0
5  28 1 0 0
5  29 1 0 0
5  30 1 0 0
5  31 1 0 0
5  32 1 0 0
6  17 1 0 0 
6  18 1 0 0
6  19 1 0 0
6  20 1 0 0
6  21 1 0 0
6  22 1 0 0
6  23 1 0 0
6  24 1 0 0
6  25 1 0 0
6  26 1 0 0
6  27 1 0 0
6  28 1 0 0
6  29 1 0 0
6  30 1 0 0
6  31 1 0 0
6  32 1 0 0
1  33 1 0 0
1  34 1 0 0
1  35 1 0 0
1  36 1 0 0
1  37 1 0 0
1  38 1 0 0
1  39 1 0 0
1  40 1 0 0
1  41 1 0 0
1  42 1 0 0
1  43 1 0 0
1  44 1 0 0
1  45 1 0 0
1  46 1 0 0
1  47 1 0 0
1  48 1 0 0  
2  33 1 0 0
2  34 1 0 0
2  35 1 0 0
2  36 1 0 0
2  37 1 0 0
2  38 1 0 0
2  39 1 0 0
2  40 1 0 0
2  41 1 0 0
2  42 1 0 0
2  43 1 0 0
2  44 1 0 0
2  45 1 0 0
2  46 1 0 0
2  47 1 0 0
2  48 1 0 0  
3  33 1 0 0
3  34 1 0 0
3  35 1 0 0
3  36 1 0 0
3  37 1 0 0
3  38 1 0 0
3  39 1 0 0
3  40 1 0 0
3  41 1 0 0
3  42 1 0 0
3  43 1 0 0
3  44 1 0 0
3  45 1 0 0
3  46 1 0 0
3  47 1 0 0
3  48 1 0 0
4  33 1 0 0
4  34 1 0 0
4  35 1 0 0
4  36 1 0 0
4  37 1 0 0
4  38 1 0 0
4  39 1 0 0
4  40 1 0 0
4  41 1 0 0
4  42 1 0 0
4  43 1 0 0
4  44 1 0 0
4  45 1 0 0
4  46 1 0 0
4  47 1 0 0
4  48 1 0 0 
5  33 1 0 0
5  34 1 0 0
5  35 1 0 0
5  36 1 0 0
5  37 1 0 0
5  38 1 0 0
5  39 1 0 0
5  40 1 0 0
5  41 1 0 0
5  42 1 0 0
5  43 1 0 0
5  44 1 0 0
5  45 1 0 0
5  46 1 0 0
5  47 1 0 0
5  48 1 0 0
6  33 1 0 0
6  34 1 0 0
6  35 1 0 0
6  36 1 0 0
6  37 1 0 0
6  38 1 0 0
6  39 1 0 0
6  40 1 0 0
6  41 1 0 0
6  42 1 0 0
6  43 1 0 0
6  44 1 0 0
6  45 1 0 0
6  46 1 0 0
6  47 1 0 0
6  48 1 0 0
1  33 1 0 0
1  34 1 0 0
1  35 1 0 0
1  36 1 0 0
1  37 1 0 0
1  38 1 0 0
1  39 1 0 0
1  40 1 0 0
1  41 1 0 0
1  42 1 0 0
1  43 1 0 0
1  44 1 0 0
1  45 1 0 0
1  46 1 0 0
1  47 1 0 0
1  48 1 0 0  
2  33 1 0 0
2  34 1 0 0
2  35 1 0 0
2  36 1 0 0
2  37 1 0 0
2  38 1 0 0
2  39 1 0 0
2  40 1 0 0
2  41 1 0 0
2  42 1 0 0
2  43 1 0 0
2  44 1 0 0
2  45 1 0 0
2  46 1 0 0
2  47 1 0 0
2  48 1 0 0  
3  33 1 0 0
3  34 1 0 0
3  35 1 0 0
3  36 1 0 0
3  37 1 0 0
3  38 1 0 0
3  39 1 0 0
3  40 1 0 0
3  41 1 0 0
3  42 1 0 0
3  43 1 0 0
3  44 1 0 0
3  45 1 0 0
3  46 1 0 0
3  47 1 0 0
3  48 1 0 0
4  33 1 0 0
4  34 1 0 0
4  35 1 0 0
4  36 1 0 0
4  37 1 0 0
4  38 1 0 0
4  39 1 0 0
4  40 1 0 0
4  41 1 0 0
4  42 1 0 0
4  43 1 0 0
4  44 1 0 0
4  45 1 0 0
4  46 1 0 0
4  47 1 0 0
4  48 1 0 0 
5  33 1 0 0
5  34 1 0 0
5  35 1 0 0
5  36 1 0 0
5  37 1 0 0
5  38 1 0 0
5  39 1 0 0
5  40 1 0 0
5  41 1 0 0
5  42 1 0 0
5  43 1 0 0
5  44 1 0 0
5  45 1 0 0
5  46 1 0 0
5  47 1 0 0
5  48 1 0 0
6  33 1 0 0
6  34 1 0 0
6  35 1 0 0
6  36 1 0 0
6  37 1 0 0
6  38 1 0 0
6  39 1 0 0
6  40 1 0 0
6  41 1 0 0
6  42 1 0 0
6  43 1 0 0
6  44 1 0 0
6  45 1 0 0
6  46 1 0 0
6  47 1 0 0
6  48 1 0 0
